source,column,missing,total,missing_rate,logged_at
remoteok,job_id,0,98,0.0,2025-12-04T00:52:11.109940
remoteok,title,0,98,0.0,2025-12-04T00:52:11.109946
remoteok,company,0,98,0.0,2025-12-04T00:52:11.109948
remoteok,industry,98,98,1.0,2025-12-04T00:52:11.109950
remoteok,location,0,98,0.0,2025-12-04T00:52:11.109952
remoteok,description_raw,0,98,0.0,2025-12-04T00:52:11.109954
remoteok,tags,0,98,0.0,2025-12-04T00:52:11.109955
remoteok,source,0,98,0.0,2025-12-04T00:52:11.109957
remoteok,date_posted,0,98,0.0,2025-12-04T00:52:11.109959
remoteok,scraped_at,0,98,0.0,2025-12-04T00:52:11.109960
remoteok,job_id,0,98,0.0,2025-12-04T00:54:26.943410
remoteok,title,0,98,0.0,2025-12-04T00:54:26.943417
remoteok,company,0,98,0.0,2025-12-04T00:54:26.943420
remoteok,industry,98,98,1.0,2025-12-04T00:54:26.943422
remoteok,location,0,98,0.0,2025-12-04T00:54:26.943425
remoteok,description_raw,0,98,0.0,2025-12-04T00:54:26.943427
remoteok,tags,0,98,0.0,2025-12-04T00:54:26.943429
remoteok,source,0,98,0.0,2025-12-04T00:54:26.943432
remoteok,date_posted,0,98,0.0,2025-12-04T00:54:26.943434
remoteok,scraped_at,0,98,0.0,2025-12-04T00:54:26.943436
remoteok,job_id,0,98,0.0,2025-12-04T00:58:41.061215
remoteok,title,0,98,0.0,2025-12-04T00:58:41.061225
remoteok,company,0,98,0.0,2025-12-04T00:58:41.061229
remoteok,industry,98,98,1.0,2025-12-04T00:58:41.061232
remoteok,location,0,98,0.0,2025-12-04T00:58:41.061235
remoteok,description_raw,0,98,0.0,2025-12-04T00:58:41.061237
remoteok,tags,0,98,0.0,2025-12-04T00:58:41.061240
remoteok,source,0,98,0.0,2025-12-04T00:58:41.061243
remoteok,date_posted,0,98,0.0,2025-12-04T00:58:41.061245
remoteok,scraped_at,0,98,0.0,2025-12-04T00:58:41.061248
remoteok,job_id,0,98,0.0,2025-12-04T03:50:59.356643
remoteok,title,0,98,0.0,2025-12-04T03:50:59.356655
remoteok,company,0,98,0.0,2025-12-04T03:50:59.356660
remoteok,industry,98,98,1.0,2025-12-04T03:50:59.356663
remoteok,location,0,98,0.0,2025-12-04T03:50:59.356666
remoteok,description_raw,0,98,0.0,2025-12-04T03:50:59.356669
remoteok,tags,0,98,0.0,2025-12-04T03:50:59.356671
remoteok,source,0,98,0.0,2025-12-04T03:50:59.356674
remoteok,date_posted,0,98,0.0,2025-12-04T03:50:59.356676
remoteok,scraped_at,0,98,0.0,2025-12-04T03:50:59.356679
remoteok,job_id,0,98,0.0,2025-12-04T03:56:49.691320
remoteok,title,0,98,0.0,2025-12-04T03:56:49.691327
remoteok,company,0,98,0.0,2025-12-04T03:56:49.691330
remoteok,industry,98,98,1.0,2025-12-04T03:56:49.691333
remoteok,location,0,98,0.0,2025-12-04T03:56:49.691335
remoteok,description_raw,0,98,0.0,2025-12-04T03:56:49.691338
remoteok,tags,0,98,0.0,2025-12-04T03:56:49.691340
remoteok,source,0,98,0.0,2025-12-04T03:56:49.691342
remoteok,date_posted,0,98,0.0,2025-12-04T03:56:49.691344
remoteok,scraped_at,0,98,0.0,2025-12-04T03:56:49.691347
